SMIT,5.62
KDMN,5.32
OPK,5.3
GCI,4.78
MEIP,3.99
INFI,3.93
APM,3.59
SLGG,3.55
CTK,3.49
CPAH,3.46
CLSD,3.4
TTOO,3.1
PRPO,3.09
MCF,3.05
JAGX,2.72
PLAG,2.68
ASTC,2.6
GLG,2.58
VSTM,2.33
NEPT,2.22
IBIO,2.17
BIMI,2.03
LEE,1.88
SLRX,1.64
MYSZ,1.59
TBLT,1.38
PTE,1.16
