Ticker
ETSY
CROX
TTD
PFSI
PYPL
AMD
TER
LOGI
RGEN
ENTG
MPWR
LRCX
NOW
NVDA
CDNS
FND
TREX
WSM
AMAT
PANW
BLDR
CHGG
FUTU
POOL
TSM
PKI
BIG
MRVL
APPS
FBC
HOLX
CRNC
VEEV
DT
WST
VIPS
DHI
AMZN
AVGO
TPX
IIPR
FTNT
TSCO
EBS
FLWS
RBA
ATVI
ADBE
BMY
VRTX
